Scene Triangle Report - CarScene
Generated: 2026-04-10 16:01:31
Total Triangles: 54,695
Renderable Objects: 79
Unique Mesh Assets: 6

Top 20 Objects
Triangles	Type	Active	Enabled	Mesh	Object Path
88	MeshFilter	True	True	Object_19	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_23
56	MeshFilter	True	True	Object_56	Car_reduced/root/GLTF_SceneRootNode/hood_8/Object_68
48	MeshFilter	True	True	Object_4	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_8
38	MeshFilter	True	True	Object_14	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_18
26	MeshFilter	True	True	Object_28	Car_reduced/root/GLTF_SceneRootNode/door_left_1/Object_33
26	MeshFilter	True	True	Object_48	Car_reduced/root/GLTF_SceneRootNode/door_right_7/Object_59
26	MeshFilter	True	True	single-lane-linear-road-piece	Road/single-lane-linear-road-piece (1)
24	MeshFilter	True	True	Object_21	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_25
15	MeshFilter	True	True	Object_29	Car_reduced/root/GLTF_SceneRootNode/door_left_1/Object_34
15	MeshFilter	True	True	Object_49	Car_reduced/root/GLTF_SceneRootNode/door_right_7/Object_60
14	MeshFilter	True	True	Object_18	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_22
10	MeshFilter	True	True	Object_22	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_26
10	MeshFilter	True	True	Object_36	Car_reduced/root/GLTF_SceneRootNode/bootlid_2/Object_42
8	MeshFilter	True	True	Object_23	Car_reduced/root/GLTF_SceneRootNode/body_0/Object_27
6	MeshFilter	True	True	Object_34	Car_reduced/root/GLTF_SceneRootNode/bootlid_2/Object_40
4	MeshFilter	True	True	Object_55	Car_reduced/root/GLTF_SceneRootNode/hood_8/Object_67
2	MeshFilter	False	True	Quad	MirrorSystem/VRCMirror
